new_device_name,lot_number,level,result_date,test_code,result,unit,name
Analyser 001,123456,001,2018.01.01 08:30:00,t010,29,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.01 08:30:00,t010,117,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.02 09:32:00,t010,27,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.02 09:37:00,t010,118,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.03 09:33:00,t010,116,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.03 09:34:00,t010,26,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.04 09:55:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.04 09:55:00,t010,119,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.05 09:36:00,t010,26,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.05 09:39:00,t010,119,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.06 09:29:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.06 09:31:00,t010,117,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.07 09:58:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.07 09:59:00,t010,117,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.08 09:47:00,t010,27,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.08 09:47:00,t010,115,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.09 09:14:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.09 09:27:00,t010,118,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.10 09:25:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.10 09:28:00,t010,116,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.11 09:26:00,t010,26,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.11 09:28:00,t010,118,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.12 09:23:00,t010,115,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.12 09:26:00,t010,26,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.13 09:40:00,t010,117,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.13 10:36:00,t010,26,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.14 09:32:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.14 09:35:00,t010,119,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.15 08:18:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.15 08:23:00,t010,117,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.16 09:29:00,t010,27,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.16 09:38:00,t010,117,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.17 09:45:00,t010,117,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.17 09:50:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.18 09:42:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.18 09:54:00,t010,118,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.19 09:46:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.19 09:46:00,t010,117,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.20 10:11:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.20 10:14:00,t010,118,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.21 10:08:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.21 10:16:00,t010,119,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.22 09:53:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.22 09:57:00,t010,119,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.23 09:49:00,t010,28,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.23 09:51:00,t010,117,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.24 09:47:00,t010,28,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.24 09:47:00,t010,117,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.25 09:50:00,t010,27,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.25 09:50:00,t010,119,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.26 09:44:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.26 09:46:00,t010,118,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.27 09:27:00,t010,28,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.27 09:32:00,t010,119,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.28 08:59:00,t010,119,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.28 09:00:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.29 08:35:00,t010,118,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.29 09:11:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.30 09:26:00,t010,119,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.30 09:28:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.31 09:18:00,t010,26,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.31 09:27:00,t010,117,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.01 09:31:00,t010,26,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.01 09:36:00,t010,117,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.02 09:22:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.02 09:26:00,t010,116,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.02.03 09:06:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.03 09:13:00,t010,116,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.02.04 08:50:00,t010,115,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.04 08:53:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.02.05 08:26:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.02.05 08:33:00,t010,118,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.06 09:20:00,t010,27,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.06 09:22:00,t010,116,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.07 09:15:00,t010,27,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.07 09:28:00,t010,118,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.02.08 09:31:00,t010,115,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.08 09:50:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.02.09 09:25:00,t010,27,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.09 09:34:00,t010,120,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.10 09:39:00,t010,26,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.10 09:43:00,t010,118,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.11 10:03:00,t010,28,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.02.11 10:04:00,t010,115,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.12 08:52:00,t010,28,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.12 08:56:00,t010,117,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.02.13 09:13:00,t010,118,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.02.13 09:15:00,t010,28,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.14 09:19:00,t010,28,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.14 09:20:00,t010,117,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.02.15 09:32:00,t010,28,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.02.15 09:35:00,t010,118,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.16 09:26:00,t010,119,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.16 09:29:00,t010,29,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.17 10:02:00,t010,27,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.17 10:04:00,t010,117,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.02.18 09:37:00,t010,116,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.02.18 09:38:00,t010,27,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.02.19 08:38:00,t010,27,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.02.19 08:40:00,t010,117,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.20 09:36:00,t010,26,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.02.20 09:36:00,t010,119,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.02.21 09:29:00,t010,26,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.21 09:32:00,t010,115,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.22 09:20:00,t010,26,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.02.22 09:24:00,t010,117,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.23 09:23:00,t010,117,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.23 09:24:00,t010,28,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.24 09:50:00,t010,28,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.24 09:51:00,t010,116,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.25 09:29:00,t010,28,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.25 09:36:00,t010,115,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.02.26 08:38:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.02.26 08:38:00,t010,118,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.02.27 09:26:00,t010,118,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.02.27 09:29:00,t010,28,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.02.28 09:21:00,t010,120,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.02.28 09:25:00,t010,28,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.03.01 09:24:00,t010,117,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.03.01 09:25:00,t010,27,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.03.02 09:58:00,t010,115,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.03.02 10:16:00,t010,26,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.03.03 09:46:00,t010,115,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.03.03 11:09:00,t010,26,NA,"Turner, Cameron"
