new_device_name,lot_number,level,result_date,test_code,result,unit,name
Analyser 001,123456,001,2018.01.01 08:16:00,t012,40.97,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.01 08:19:00,t012,123.13,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.02 09:24:00,t012,40.74,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.02 09:26:00,t012,123.81,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.03 09:23:00,t012,41.08,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.03 09:30:00,t012,124.38,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.04 09:47:00,t012,41.65,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.04 09:53:00,t012,125.64,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.05 09:29:00,t012,40.85,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.05 09:35:00,t012,125.52,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.06 09:24:00,t012,124.5,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.06 09:25:00,t012,41.08,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.07 09:54:00,t012,42.45,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.07 09:59:00,t012,126.32,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.08 09:37:00,t012,40.51,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.08 09:41:00,t012,121.53,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.09 09:09:00,t012,39.94,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.09 09:15:00,t012,121.76,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.10 09:14:00,t012,41.42,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.10 09:17:00,t012,121.53,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.11 09:15:00,t012,41.08,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.11 09:24:00,t012,123.36,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.12 09:14:00,t012,40.74,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.12 09:19:00,t012,122.79,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.13 09:30:00,t012,124.5,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.13 09:33:00,t012,40.62,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.14 09:25:00,t012,40.4,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.14 09:29:00,t012,124.5,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.15 08:16:00,t012,125.87,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.15 08:19:00,t012,41.31,NA,"Turner, Cameron"
