new_device_name,lot_number,level,result_date,test_code,result,unit,name
Analyser 001,123456,001,2018.01.01 08:13:00,t003,122,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.01 08:21:00,t003,145,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.02 09:25:00,t003,121,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.02 09:27:00,t003,144,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.03 09:23:00,t003,144,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.03 09:24:00,t003,121,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.04 09:42:00,t003,146,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.04 09:49:00,t003,121,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.05 09:22:00,t003,121,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.05 09:31:00,t003,145,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.06 09:20:00,t003,122,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.06 09:25:00,t003,144,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.07 09:51:00,t003,145,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.07 09:53:00,t003,123,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.08 09:36:00,t003,121,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.08 09:39:00,t003,145,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.09 09:13:00,t003,145,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.09 09:15:00,t003,121,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.10 09:17:00,t003,144,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.10 09:18:00,t003,121,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.11 09:18:00,t003,122,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.11 09:19:00,t003,145,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.12 09:14:00,t003,121,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.12 09:15:00,t003,145,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.13 09:36:00,t003,122,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.13 09:37:00,t003,145,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.14 09:25:00,t003,121,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.14 09:30:00,t003,145,NA,"Cordova, Rocky"
