new_device_name,lot_number,level,result_date,test_code,result,unit,name
Analyser 001,123456,001,2018.01.01 08:29:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.01 08:29:00,t006,145,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.02 09:31:00,t006,144,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.02 09:41:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.03 09:30:00,t006,100,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.03 09:32:00,t006,143,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.04 09:57:00,t006,100,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.04 10:01:00,t006,144,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.05 09:40:00,t006,101,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.05 09:40:00,t006,144,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.06 09:32:00,t006,141,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.06 09:35:00,t006,100,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.07 10:01:00,t006,101,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.07 10:03:00,t006,142,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.08 09:45:00,t006,102,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.08 09:52:00,t006,144,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.09 09:17:00,t006,101,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.09 09:23:00,t006,144,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.10 09:24:00,t006,102,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.10 09:31:00,t006,145,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.11 09:25:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.11 09:29:00,t006,142,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.12 09:25:00,t006,101,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.12 09:25:00,t006,144,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.13 09:40:00,t006,144,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.13 09:41:00,t006,102,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.14 09:30:00,t006,103,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.14 09:39:00,t006,145,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.15 08:25:00,t006,102,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.15 08:25:00,t006,144,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.16 09:27:00,t006,143,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.16 09:32:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.17 09:48:00,t006,144,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.17 09:52:00,t006,101,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.18 09:47:00,t006,102,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.18 09:47:00,t006,143,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.19 09:43:00,t006,102,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.19 09:43:00,t006,144,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.20 10:11:00,t006,103,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.20 10:12:00,t006,146,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.21 10:10:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.21 10:11:00,t006,145,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.22 09:51:00,t006,144,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.22 09:55:00,t006,101,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.23 09:51:00,t006,102,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.23 09:55:00,t006,144,NA,"Ramundo, Dustyn"
