new_device_name,lot_number,level,result_date,test_code,result,unit,name
Analyser 001,123456,001,2018.01.01 08:22:00,t002,4.96,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.01 08:22:00,t002,6.36,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.02 09:29:00,t002,4.93,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.02 09:30:00,t002,6.36,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.03 12:11:00,t002,6.33,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.03 12:12:00,t002,4.91,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.04 09:44:00,t002,5.01,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.04 09:53:00,t002,6.52,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.05 09:25:00,t002,4.9,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.05 09:34:00,t002,6.37,NA,"Acres, Valerie"
Analyser 001,123456,002,2018.01.06 09:25:00,t002,6.32,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.06 09:29:00,t002,4.93,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.07 09:54:00,t002,4.96,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.07 09:56:00,t002,6.37,NA,"Acres, Valerie"
Analyser 001,123456,001,2018.01.08 09:41:00,t002,4.89,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.08 09:44:00,t002,6.32,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.09 09:07:00,t002,4.91,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.09 09:22:00,t002,6.37,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.10 09:19:00,t002,6.37,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.10 09:21:00,t002,4.9,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.11 09:20:00,t002,6.36,NA,"Cordova, Rocky"
Analyser 001,123456,001,2018.01.11 09:25:00,t002,4.9,NA,"Seidel, Sophia"
Analyser 001,123456,001,2018.01.12 09:15:00,t002,4.88,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.12 09:21:00,t002,6.36,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.13 09:35:00,t002,4.91,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.13 09:39:00,t002,6.36,NA,"Ramundo, Dustyn"
Analyser 001,123456,001,2018.01.14 09:25:00,t002,4.91,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.14 09:26:00,t002,6.31,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.15 08:17:00,t002,4.87,NA,"Turner, Cameron"
Analyser 001,123456,002,2018.01.15 08:18:00,t002,6.31,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.16 09:22:00,t002,4.87,NA,"Ramundo, Dustyn"
Analyser 001,123456,002,2018.01.16 09:27:00,t002,6.34,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.17 09:42:00,t002,4.89,NA,"Seidel, Sophia"
Analyser 001,123456,002,2018.01.17 09:47:00,t002,6.32,NA,"Turner, Cameron"
Analyser 001,123456,001,2018.01.18 09:41:00,t002,4.83,NA,"Cordova, Rocky"
Analyser 001,123456,002,2018.01.18 09:50:00,t002,6.25,NA,"Acres, Valerie"
